18310002 459 1025 8 28 Brandýs n.L.-St.Bol.,Kasárna
22040001 2094 1025 3 30 Brandýs n.L.-St.Bol.,Kralovice
22040002 2095 1025 3 30 Brandýs n.L.-St.Bol.,Kralovice
19240001 2096 1025 8 25 Brandýs n.L.-St.Bol.,most
19240002 2097 1025 8 25 Brandýs n.L.-St.Bol.,most
30010001 2098 1025 8 31 Brandýs n.L.-St.Bol.,Na Panském
30010002 2099 1025 8 31 Brandýs n.L.-St.Bol.,Na Panském
22030001 2100 1025 3 31 Brandýs n.L.-St.Bol.,na Radosti
22030002 493 1025 3 31 Brandýs n.L.-St.Bol.,na Radosti
19420001 494 1025 3 26 Brandýs n.L.-St.Bol.,nádr.
19420002 495 1025 3 26 Brandýs n.L.-St.Bol.,nádr.
19420003 557 1025 3 26 Brandýs n.L.-St.Bol.,nádr.
18270001 558 1025 3 25 Brandýs n.L.-St.Bol.,nám.
18270002 1758 1025 3 25 Brandýs n.L.-St.Bol.,nám.
19480001 1759 1025 3 25 Brandýs n.L.-St.Bol.,nem.
19480002 1760 1025 3 25 Brandýs n.L.-St.Bol.,nem.
18250001 1761 1025 3 28 Brandýs n.L.-St.Bol.,pekárny
18250002 2531 1025 3 28 Brandýs n.L.-St.Bol.,pekárny
19620001 2532 1025 3 29 Brandýs n.L.-St.Bol.,Popovice
19620002 2533 1025 3 29 Brandýs n.L.-St.Bol.,Popovice
18260002 2534 1024 3 28 Brandýs n.L.-St.Bol.,Pražská
19470001 2062 1025 3 27 Brandýs n.L.-St.Bol.,Rychta
19470002 2063 1025 3 27 Brandýs n.L.-St.Bol.,Rychta
19450001 2064 1024 3 29 Brandýs n.L.-St.Bol.,sídl.BSS
19430001 2065 1024 3 33 Brandýs n.L.-St.Bol.,sídl.u nádr.
18300001 2066 1025 8 29 Brandýs n.L.-St.Bol.,sídliště
18300002 2067 1025 8 29 Brandýs n.L.-St.Bol.,sídliště
18340001 2068 1025 8 31 Brandýs n.L.-St.Bol.,Sokolovská
18340002 643 1025 8 31 Brandýs n.L.-St.Bol.,Sokolovská
18330001 644 1025 8 26 Brandýs n.L.-St.Bol.,škola
18330002 606 1025 8 26 Brandýs n.L.-St.Bol.,škola
32570001 607 1025 8 27 Brandýs n.L.-St.Bol.,Školní
32570002 631 1025 8 27 Brandýs n.L.-St.Bol.,Školní
18280001 632 1025 8 28 Brandýs n.L.-St.Bol.,U brány
18280002 4792 1025 8 28 Brandýs n.L.-St.Bol.,U brány
23620002 140 1024 8 31 Brandýs n.L.-St.Bol.,u hřbitova
19490001 141 1025 3 29 Brandýs n.L.-St.Bol.,U křížku
19490002 652 1025 3 29 Brandýs n.L.-St.Bol.,U křížku
19730001 653 1025 3 28 Brandýs n.L.-St.Bol.,U soudu
19730002 655 1025 3 28 Brandýs n.L.-St.Bol.,U soudu
19440001 656 1025 3 32 Brandýs n.L.-St.Bol.,V olšinkách
19440002 657 1025 3 32 Brandýs n.L.-St.Bol.,V olšinkách
19500001 658 1025 3 24 Brandýs n.L.-St.Bol.,VDO
19500002 659 1025 3 24 Brandýs n.L.-St.Bol.,VDO
18350001 660 1025 8 32 Brandýs n.L.-St.Bol.,Vosí hnízdo
18350002 661 1025 8 32 Brandýs n.L.-St.Bol.,Vosí hnízdo
18240001 662 1025 3 26 Brandýs n.L.-St.Bol.,Vrábí
18240002 663 1025 3 26 Brandýs n.L.-St.Bol.,Vrábí
23650001 664 1025 3 31 Brandýs n.L.-St.Bol.,Zahr.Město
23650002 667 1025 3 31 Brandýs n.L.-St.Bol.,Zahr.Město
19610001 668 1025 3 31 Brandýs n.L.-St.Bol.,zdrav.stř.
19610002 673 1025 3 31 Brandýs n.L.-St.Bol.,zdrav.stř.
18320001 674 1025 8 28 Brandýs n.L.-St.Bol.,žel.st.
18320002 675 1025 8 28 Brandýs n.L.-St.Bol.,žel.st.
2450001 676 1025 1 16 Branické náměstí
2450002 679 1025 1 16 Branické náměstí
17570001 680 1025 8 9 Bratřínov
17570002 681 1025 8 9 Bratřínov
10440001 682 1025 1 8 Braunova
10440002 3645 1025 1 8 Braunova
12390001 3646 1025 6 20 Brázdim,Nový Brázdim
12390002 743 1025 6 20 Brázdim,Nový Brázdim
12440001 744 1025 6 27 Brázdim,rozc.Veliký Brázdim
12440002 3264 1025 6 27 Brázdim,rozc.Veliký Brázdim
18050001 3265 1025 6 21 Brázdim,Starý Brázdim
18050002 3266 1025 6 21 Brázdim,Starý Brázdim
430001 756 1025 1 9 Brechtova
430002 757 1025 1 9 Brechtova
11290001 4878 1025 1 12 Breitcetlova
11290002 4879 1025 1 12 Breitcetlova
11670001 747 1025 1 8 Brodecká
11670002 748 1025 1 8 Brodecká
9600001 749 1025 1 9 Brodského
9600002 721 1025 1 9 Brodského
2650001 722 1025 1 9 Brumlovka
2650002 762 1025 2 9 Brumlovka
2650003 763 1025 1 18 Brumlovka,Za Betou
450001 764 1 1 9 Bruselská
450002 5192 1 1 9 Bruselská
460001 5193 1025 1 8 Brusnice
460002 5194 1 1 8 Brusnice
10910001 5195 1025 1 8 Bryksova
30001 3549 1025 4 11 Břetislavka
30002 5196 1025 4 11 Břetislavka
30003 5197 1025 1 11 Břetislavka
440001 5198 1025 1 10 Břevnovská
440002 5199 1025 1 10 Břevnovská
9940001 862 1025 1 18 Břevnovský klášter
9940002 863 1025 1 18 Břevnovský klášter
18160003 765 1024 6 14 Březí,Podskalí
18140001 766 1025 6 14 Březí,U křížku
18140003 781 1025 6 14 Březí,U křížku
32950001 782 1025 6 15 Březí,V Jezírku
8260001 1430 1025 4 10 Březiněves
8260002 1431 1025 4 10 Březiněves
7180001 1432 1 1 12 Březiněveská
7180002 785 1 1 12 Březiněveská
15150001 3227 1025 3 22 Březová-Oleško,Březová
15150002 3228 1025 3 22 Březová-Oleško,Březová
15170001 3229 1025 3 21 Březová-Oleško,Oleško
15170002 3230 1025 3 21 Březová-Oleško,Oleško
15160001 3231 1025 3 23 Březová-Oleško,U topolů
15160002 3232 1025 3 23 Březová-Oleško,U topolů
24390001 3233 1025 3 10 Břežany II
24390002 3234 1025 3 10 Břežany II
24530001 3235 1025 3 25 Břežany II,na Malé Straně
24530002 3236 1025 3 25 Břežany II,na Malé Straně
