18250001 09f5 0000 0401 0007b1ce Brandýs n.L.-St.Bol.,pekárny
18250002 09f6 0000 0401 0007b294 Brandýs n.L.-St.Bol.,pekárny
19620001 09f7 0000 0401 0007b3ea Brandýs n.L.-St.Bol.,Popovice
19620002 081c 0000 0401 0007b426 Brandýs n.L.-St.Bol.,Popovice
18260002 081d 0000 0400 0007b45c Brandýs n.L.-St.Bol.,Pražská
19470001 081e 0000 0401 0007b720 Brandýs n.L.-St.Bol.,Rychta
19470002 081f 0000 0401 0007b780 Brandýs n.L.-St.Bol.,Rychta
19450001 0820 0000 0400 0007b88e Brandýs n.L.-St.Bol.,sídl.BSS
19430001 0821 0000 0400 0007b972 Brandýs n.L.-St.Bol.,sídl.u nádr.
18300001 0822 0000 0401 0007bb34 Brandýs n.L.-St.Bol.,sídliště
18300002 0287 0000 0401 0007bd20 Brandýs n.L.-St.Bol.,sídliště
18340001 0288 0000 0401 0007bf30 Brandýs n.L.-St.Bol.,Sokolovská
18340002 0262 0000 0401 0007bfae Brandýs n.L.-St.Bol.,Sokolovská
18330001 0263 0000 0401 0007c02c Brandýs n.L.-St.Bol.,škola
18330002 027b 0000 0401 0007c0aa Brandýs n.L.-St.Bol.,škola
32570001 027c 0000 0401 0007c128 Brandýs n.L.-St.Bol.,Školní
32570002 12de 0000 0401 0007c1d0 Brandýs n.L.-St.Bol.,Školní
18280001 0089 0000 0401 0007c2cc Brandýs n.L.-St.Bol.,U brány
18280002 008a 0000 0401 0007c64a Brandýs n.L.-St.Bol.,U brány
23620002 0290 0000 0400 0007c9bc Brandýs n.L.-St.Bol.,u hřbitova
19490001 0291 0000 0401 0007ca3a Brandýs n.L.-St.Bol.,U křížku
19490002 0293 0000 0401 0007ca94 Brandýs n.L.-St.Bol.,U křížku
19730001 0294 0000 0401 0007caee Brandýs n.L.-St.Bol.,U soudu
19730002 0295 0000 0401 0007cc2c Brandýs n.L.-St.Bol.,U soudu
19440001 0296 0000 0401 0007ce06 Brandýs n.L.-St.Bol.,V olšinkách
19440002 0297 0000 0401 0007cf4a Brandýs n.L.-St.Bol.,V olšinkách
19500001 0298 0000 0401 0007d10c Brandýs n.L.-St.Bol.,VDO
19500002 0299 0000 0401 0007d202 Brandýs n.L.-St.Bol.,VDO
18350001 029a 0000 0401 0007d268 Brandýs n.L.-St.Bol.,Vosí hnízdo
18350002 029b 0000 0401 0007d2e6 Brandýs n.L.-St.Bol.,Vosí hnízdo
